"","Blue","CloudMask","CloudMaskConfidence","FieldValue","Green","ImageDate","ImageName","Lake","MaxDepth","Method","NIR","Organization","Red","SWIR1","SWIR2","SampleDepth","SamplingDate","Sensor","StationID","AbsDiffInDays","Dataset"
"472",393,1,1,11.5,783,2010-06-17,"LT50380322010168","Utah",-9999,"Chlorophyll-A (Colorimet)",264,"UTAHDWQ",553,99,86,-9999,2010-06-14,"LANDSAT/LT5_SR",4917450,3,"Calibration"
"473",684,1,1,11.5,986,2010-06-09,"LE70380322010160","Utah",-9999,"Chlorophyll-A (Colorimet)",582,"UTAHDWQ",700,315,281,-9999,2010-06-14,"LANDSAT/LE7_SR",4917450,5,"Calibration"
"474",1545,1,1,6.1,1991,2010-06-17,"LT50380322010168","Utah",-9999,"Chlorophyll-A (Colorimet)",426,"UTAHDWQ",1564,35,86,-9999,2010-06-14,"LANDSAT/LT5_SR",4917500,3,"Calibration"
"475",1859,1,1,6.1,2117,2010-06-09,"LE70380322010160","Utah",-9999,"Chlorophyll-A (Colorimet)",667,"UTAHDWQ",1493,451,384,-9999,2010-06-14,"LANDSAT/LE7_SR",4917500,5,"Calibration"
"476",1725,1,1,2.3,2203,2010-06-17,"LT50380322010168","Utah",-9999,"Chlorophyll-A (Colorimet)",736,"UTAHDWQ",1810,266,246,-9999,2010-06-14,"LANDSAT/LT5_SR",4917520,3,"Calibration"
"478",1215,1,1,7.5,1734,2010-06-17,"LT50380322010168","Utah",-9999,"Chlorophyll-A (Colorimet)",555,"UTAHDWQ",1406,165,151,-9999,2010-06-14,"LANDSAT/LT5_SR",4917600,3,"Calibration"
"480",1060,1,1,11.5,1635,2010-06-17,"LT50380322010168","Utah",-9999,"Chlorophyll-A (Colorimet)",552,"UTAHDWQ",1245,99,85,-9999,2010-06-14,"LANDSAT/LT5_SR",4917770,3,"Calibration"
"481",826,1,1,11.5,1228,2010-06-09,"LE70380322010160","Utah",-9999,"Chlorophyll-A (Colorimet)",466,"UTAHDWQ",859,282,211,-9999,2010-06-14,"LANDSAT/LE7_SR",4917770,5,"Calibration"
"492",989,1,1,14.1,1313,2010-07-19,"LT50380322010200","Utah",-9999,"Chlorophyll-A (Colorimet)",466,"UTAHDWQ",1002,165,121,-9999,2010-07-15,"LANDSAT/LT5_SR",4917600,4,"Calibration"
"498",1198,1,1,30.2,1698,2010-08-20,"LT50380322010232","Utah",-9999,"Chlorophyll-A (Colorimet)",444,"UTAHDWQ",1286,64,95,-9999,2010-08-19,"LANDSAT/LT5_SR",4917370,1,"Calibration"
"499",1259,1,1,30.2,1722,2010-08-12,"LE70380322010224","Utah",-9999,"Chlorophyll-A (Colorimet)",825,"UTAHDWQ",1504,115,123,-9999,2010-08-19,"LANDSAT/LE7_SR",4917370,7,"Calibration"
"501",1106,1,1,23.3,1593,2010-08-20,"LT50380322010232","Utah",-9999,"Chlorophyll-A (Colorimet)",367,"UTAHDWQ",1141,62,22,-9999,2010-08-19,"LANDSAT/LT5_SR",4917390,1,"Calibration"
"502",1202,1,1,23.3,1665,2010-08-12,"LE70380322010224","Utah",-9999,"Chlorophyll-A (Colorimet)",474,"UTAHDWQ",1295,44,88,-9999,2010-08-19,"LANDSAT/LE7_SR",4917390,7,"Calibration"
"504",1233,1,1,37.6,1667,2010-08-20,"LT50380322010232","Utah",-9999,"Chlorophyll-A (Colorimet)",366,"UTAHDWQ",1199,12,22,-9999,2010-08-19,"LANDSAT/LT5_SR",4917500,1,"Calibration"
"505",1504,1,1,37.6,1973,2010-08-12,"LE70380322010224","Utah",-9999,"Chlorophyll-A (Colorimet)",681,"UTAHDWQ",1731,122,91,-9999,2010-08-19,"LANDSAT/LE7_SR",4917500,7,"Calibration"
"506",1665,0,1,37.6,2120,2010-08-28,"LE70380322010240","Utah",-9999,"Chlorophyll-A (Colorimet)",1408,"UTAHDWQ",2126,149,164,-9999,2010-08-19,"LANDSAT/LE7_SR",4917500,9,"Calibration"
"507",694,1,1,61.4,1200,2010-08-20,"LT50380322010232","Utah",-9999,"Chlorophyll-A (Colorimet)",511,"UTAHDWQ",877,84,94,-9999,2010-08-19,"LANDSAT/LT5_SR",4917600,1,"Calibration"
"508",995,1,1,61.4,1371,2010-08-12,"LE70380322010224","Utah",-9999,"Chlorophyll-A (Colorimet)",482,"UTAHDWQ",1062,48,19,-9999,2010-08-19,"LANDSAT/LE7_SR",4917600,7,"Calibration"
"510",1033,1,1,11.7,1522,2010-08-20,"LT50380322010232","Utah",-9999,"Chlorophyll-A (Colorimet)",402,"UTAHDWQ",1110,157,94,-9999,2010-08-19,"LANDSAT/LT5_SR",4917770,1,"Calibration"
"511",1199,1,1,11.7,1607,2010-08-12,"LE70380322010224","Utah",-9999,"Chlorophyll-A (Colorimet)",312,"UTAHDWQ",1214,41,16,-9999,2010-08-19,"LANDSAT/LE7_SR",4917770,7,"Calibration"
"513",385,1,1,185.5,730,2010-08-20,"LT50380322010232","Utah",-9999,"Chlorophyll-A (Colorimet)",620,"UTAHDWQ",525,62,58,-9999,2010-08-19,"LANDSAT/LT5_SR",4917450,1,"Calibration"
